scaffold,metric,n_resolved,n_failed,median_resolved,median_failed,failed_over_resolved_ratio,ci_low,ci_high
openhands,trajectory_turns,298,473,107.0,129.0,1.205607476635514,1.0683760683760684,1.3564356435643565
openhands,assistant_turns,298,473,53.0,64.0,1.2075471698113207,1.0689655172413792,1.36
openhands,tool_calls,298,473,53.0,64.0,1.2075471698113207,1.0689655172413792,1.36
openhands,tool_result_turns,298,473,52.0,63.0,1.2115384615384615,1.0701754385964912,1.3673469387755102
openhands,trajectory_characters,298,473,155646.0,188255.0,1.204470331872392,1.0841907925671261,1.3635148932088064
openhands,reasoning_characters,298,473,21629.0,28783.0,1.320461895003009,1.0754685685851717,1.6320588621731704
sweagent,trajectory_turns,307,464,133.0,158.0,1.1925925925925926,1.0689655172413792,1.3471074380165289
sweagent,assistant_turns,307,464,66.0,78.5,1.1940298507462686,1.0694444444444444,1.35
sweagent,tool_calls,307,464,66.0,78.5,1.1940298507462686,1.0694444444444444,1.35
sweagent,tool_result_turns,307,464,65.0,77.5,1.196969696969697,1.0704225352112675,1.3559322033898304
sweagent,trajectory_characters,307,464,159898.0,212293.5,1.3280530878732741,1.1081841078298413,1.5373936515529436
sweagent,reasoning_characters,307,464,21731.0,29957.5,1.3581211605023658,1.0531645569620254,1.6816954913525943
